,回別,抽せん日,ナンバーズ3抽せん数字
322,第5535回,2020年10月2日,040
323,第5534回,2020年10月1日,659
324,第5533回,2020年9月30日,130
325,第5532回,2020年9月29日,969
326,第5531回,2020年9月28日,932
327,第5530回,2020年9月25日,040
328,第5529回,2020年9月24日,660
329,第5528回,2020年9月23日,365
330,第5527回,2020年9月22日,208
331,第5526回,2020年9月21日,240
332,第5525回,2020年9月18日,432
333,第5524回,2020年9月17日,376
334,第5523回,2020年9月16日,927
335,第5522回,2020年9月15日,848
336,第5521回,2020年9月14日,046
337,第5520回,2020年9月11日,195
338,第5519回,2020年9月10日,899
339,第5518回,2020年9月9日,461
340,第5517回,2020年9月8日,948
341,第5516回,2020年9月7日,793
342,第5515回,2020年9月4日,445
343,第5514回,2020年9月3日,716
344,第5513回,2020年9月2日,995
345,第5512回,2020年9月1日,838
346,第5511回,2020年8月31日,443
347,第5510回,2020年8月28日,930
348,第5509回,2020年8月27日,267
349,第5508回,2020年8月26日,687
350,第5507回,2020年8月25日,226
351,第5506回,2020年8月24日,317
352,第5505回,2020年8月21日,529
353,第5504回,2020年8月20日,611
354,第5503回,2020年8月19日,884
355,第5502回,2020年8月18日,858
356,第5501回,2020年8月17日,946
357,第5500回,2020年8月14日,132
358,第5499回,2020年8月13日,998
359,第5498回,2020年8月12日,640
360,第5497回,2020年8月11日,871
361,第5496回,2020年8月10日,681
362,第5495回,2020年8月7日,332
363,第5494回,2020年8月6日,796
364,第5493回,2020年8月5日,229
365,第5492回,2020年8月4日,113
366,第5491回,2020年8月3日,009
367,第5490回,2020年7月31日,130
368,第5489回,2020年7月30日,555
369,第5488回,2020年7月29日,902
370,第5487回,2020年7月28日,008
371,第5486回,2020年7月27日,495
372,第5485回,2020年7月24日,224
373,第5484回,2020年7月23日,097
374,第5483回,2020年7月22日,637
375,第5482回,2020年7月21日,378
376,第5481回,2020年7月20日,350
377,第5480回,2020年7月17日,613
378,第5479回,2020年7月16日,699
379,第5478回,2020年7月15日,697
380,第5477回,2020年7月14日,738
381,第5476回,2020年7月13日,182
382,第5475回,2020年7月10日,937
383,第5474回,2020年7月9日,339
384,第5473回,2020年7月8日,024
385,第5472回,2020年7月7日,112
386,第5471回,2020年7月6日,337
387,第5470回,2020年7月3日,464
388,第5469回,2020年7月2日,510
389,第5468回,2020年7月1日,358
390,第5467回,2020年6月30日,245
391,第5466回,2020年6月29日,801
392,第5465回,2020年6月26日,709
393,第5464回,2020年6月25日,981
394,第5463回,2020年6月24日,550
395,第5462回,2020年6月23日,988
396,第5461回,2020年6月22日,197
397,第5460回,2020年6月19日,734
398,第5459回,2020年6月18日,365
399,第5458回,2020年6月17日,153
400,第5457回,2020年6月16日,826
401,第5456回,2020年6月15日,712
402,第5455回,2020年6月12日,078
403,第5454回,2020年6月11日,383
404,第5453回,2020年6月10日,774
405,第5452回,2020年6月9日,744
406,第5451回,2020年6月8日,507
407,第5450回,2020年6月5日,863
408,第5449回,2020年6月4日,432
409,第5448回,2020年6月3日,697
410,第5447回,2020年6月2日,202
411,第5446回,2020年6月1日,536
412,第5445回,2020年5月29日,892
413,第5444回,2020年5月28日,343
414,第5443回,2020年5月27日,551
415,第5442回,2020年5月26日,178
416,第5441回,2020年5月25日,663
417,第5440回,2020年5月22日,406
418,第5439回,2020年5月21日,684
419,第5438回,2020年5月20日,729
420,第5437回,2020年5月19日,162
421,第5436回,2020年5月18日,803
422,第5435回,2020年5月15日,325
423,第5434回,2020年5月14日,700
424,第5433回,2020年5月13日,860
425,第5432回,2020年5月12日,996
426,第5431回,2020年5月11日,837
427,第5430回,2020年5月8日,278
